LatGrid,LonGrid,Count,Gi_star_z,Hotspot_Class
38,-101,33,-1.3090360535219507,Not Significant
38,-100,266,-1.24385822243692,Not Significant
38,-99,267,-1.1339215813520436,Not Significant
38,-98,106,-0.8139703711030388,Not Significant
38,-97,478,-0.7078866417784384,Not Significant
38,-96,620,-0.5786200661220589,Not Significant
38,-95,2479,-0.75747895031375,Not Significant
38,-94,177,-0.6894590703883732,Not Significant
38,-93,278,-0.9139917374361756,Not Significant
38,-92,259,-0.9549786676485232,Not Significant
38,-91,4240,-1.1645950182196314,Not Significant
38,-90,384,-0.9703932833174779,Not Significant
38,-89,450,-0.4032409736151839,Not Significant
38,-88,564,0.48661149013801525,Not Significant
38,-87,815,0.18405411413397704,Not Significant
38,-86,2664,0.29545983572009094,Not Significant
38,-85,2512,0.26437318437029395,Not Significant
38,-84,623,-0.10267760014289479,Not Significant
38,-83,624,0.001005129759103016,Not Significant
38,-82,683,0.3701963066284988,Not Significant
38,-81,139,0.7191527121399858,Not Significant
38,-80,305,1.2721416498106426,Not Significant
38,-79,1638,2.455577411983223,Hot Spot (95%)
38,-78,17754,3.02169629475189,Hot Spot (99%)
38,-77,5873,5.014731246873738,Hot Spot (99%)
38,-76,2643,7.966105876771138,Hot Spot (99%)
38,-75,83,9.153832620078395,Hot Spot (99%)
39,-124,908,0.5376525743902343,Not Significant
39,-123,876,0.7088275431345885,Not Significant
39,-122,2172,0.5486311132238393,Not Significant
39,-121,2306,0.24049695471515997,Not Significant
39,-120,2718,-0.5116487750347374,Not Significant
39,-119,168,-0.9354254054284868,Not Significant
39,-118,157,-1.205899965519764,Not Significant
39,-117,2,-1.2502446123807995,Not Significant
39,-116,80,-1.3135288554336955,Not Significant
39,-115,118,-1.2764361353864677,Not Significant
39,-113,61,-1.1223794358135013,Not Significant
39,-112,107,-1.1011226702753814,Not Significant
39,-111,23,-1.1158358418982592,Not Significant
39,-110,11,-1.0987012566763366,Not Significant
39,-109,445,-0.8153582970078401,Not Significant
39,-108,1999,-0.08967897505233283,Not Significant
39,-107,2326,0.6745875378422688,Not Significant
39,-106,15640,0.6189255281377883,Not Significant
39,-105,24340,0.19198682945892293,Not Significant
39,-104,606,0.7718588848476022,Not Significant
39,-103,136,-0.052333892907954635,Not Significant
39,-102,67,-0.8062284449879538,Not Significant
39,-101,204,-1.3213094984846074,Not Significant
39,-100,139,-1.2567952704642436,Not Significant
39,-99,118,-1.1326623844833936,Not Significant
39,-98,347,-0.9026044972810221,Not Significant
39,-97,1443,-0.7691787578141392,Not Significant
39,-96,2547,-0.6454656119511627,Not Significant
39,-95,4933,-0.8062170594727138,Not Significant
39,-94,157,-0.6552511771002183,Not Significant
39,-93,145,-0.7581258951941091,Not Significant
39,-92,197,-0.8386700076974453,Not Significant
39,-91,122,-0.7703170059621733,Not Significant
39,-90,225,0.26596936743352356,Not Significant
39,-89,272,0.7831424959830495,Not Significant
39,-88,478,1.661262359113581,Hot Spot (90%)
39,-87,14090,0.9228802259397539,Not Significant
39,-86,3281,1.5005796073819968,Not Significant
39,-85,7842,0.3854167755446278,Not Significant
39,-84,3066,0.9018657616562604,Not Significant
39,-83,3424,0.40314229170198707,Not Significant
39,-82,706,0.8684014975548904,Not Significant
39,-81,608,1.1180927279584494,Not Significant
39,-80,1145,2.1046642313889063,Hot Spot (95%)
39,-79,2175,3.2449374116946363,Hot Spot (99%)
39,-78,7107,4.338885193177006,Hot Spot (99%)
39,-77,16149,5.796497686300878,Hot Spot (99%)
39,-76,29127,8.705308293687501,Hot Spot (99%)
39,-75,4693,11.55017727607791,Hot Spot (99%)
40,-125,571,-0.3505976331769257,Not Significant
40,-124,933,-0.28235939333848253,Not Significant
40,-123,928,0.02797924289260817,Not Significant
40,-122,950,-0.22394689774422516,Not Significant
40,-121,906,-0.4544062237230925,Not Significant
40,-120,11,-0.7787949819105678,Not Significant
40,-119,146,-1.1137185061710946,Not Significant
40,-118,294,-1.3012141504635686,Not Significant
40,-117,484,-1.1638789569383925,Not Significant
40,-116,333,-1.3016623368440492,Not Significant
40,-115,19,-1.1883777550644699,Not Significant
40,-114,4,-1.127746218460647,Not Significant
40,-113,609,-1.093116177421675,Not Significant
40,-112,2749,-1.1853033322938826,Not Significant
40,-111,109,-1.1619635486709001,Not Significant
40,-110,57,-1.1862412555274962,Not Significant
40,-109,96,-1.0428548840871104,Not Significant
40,-108,612,-0.52630506539658,Not Significant
40,-107,445,0.49069594290928126,Not Significant
40,-106,4066,0.8080575087801294,Not Significant
40,-105,4107,0.8487042485747517,Not Significant
40,-104,1160,0.39638252888924497,Not Significant
40,-103,325,-0.3884228596714181,Not Significant
40,-102,136,-1.226356285078188,Not Significant
40,-101,155,-1.3106487004786815,Not Significant
40,-100,361,-1.3421685738246543,Not Significant
40,-99,336,-1.2515643558430438,Not Significant
40,-98,381,-1.0311487339438525,Not Significant
40,-97,714,-0.8131866099350362,Not Significant
40,-96,475,-0.6319706879630937,Not Significant
40,-95,171,-0.5854646924492242,Not Significant
40,-94,342,-0.6618588340472222,Not Significant
40,-93,462,-0.7330051238200608,Not Significant
40,-92,552,-0.8582293234416609,Not Significant
40,-91,131,-0.5569469524665513,Not Significant
40,-90,949,0.9320657717253554,Not Significant
40,-89,523,1.9324330226398454,Hot Spot (90%)
40,-88,669,2.61711860428666,Hot Spot (99%)
40,-87,2697,2.6172510019763884,Hot Spot (99%)
40,-86,1621,2.4895628945862747,Hot Spot (95%)
40,-85,982,1.3604033799782913,Not Significant
40,-84,2346,1.347456162332572,Not Significant
40,-83,1603,1.4305376086364798,Not Significant
40,-82,1045,1.582413320751393,Not Significant
40,-81,15125,0.8528545532640028,Not Significant
40,-80,15591,1.5202849941080683,Not Significant
40,-79,3801,3.065664590756139,Hot Spot (99%)
40,-78,6484,5.3600164475625,Hot Spot (99%)
40,-77,14754,7.957974733391991,Hot Spot (99%)
40,-76,31295,9.083556163556572,Hot Spot (99%)
40,-75,49107,9.848868334813732,Hot Spot (99%)
40,-74,102039,6.744260005235499,Hot Spot (99%)
40,-73,1109,10.888508565259995,Hot Spot (99%)
41,-125,977,-0.5522406499826629,Not Significant
41,-124,432,-0.5380572669686574,Not Significant
41,-123,1095,-0.5658761510955096,Not Significant
41,-122,272,-0.5543545388333049,Not Significant
41,-121,298,-0.8772846581168576,Not Significant
41,-120,3,-1.1095805038915292,Not Significant
41,-119,24,-1.0272549394331085,Not Significant
41,-118,32,-1.040133658830482,Not Significant
41,-117,1,-1.0383510652749313,Not Significant
41,-116,155,-1.014957826429762,Not Significant
41,-115,562,-1.0359222379997886,Not Significant
41,-114,1,-1.097512210489142,Not Significant
41,-113,1172,-1.1249413167939053,Not Significant
41,-112,1007,-1.1096967681164027,Not Significant
41,-111,305,-1.1729355487717714,Not Significant
41,-110,449,-1.2028073831544461,Not Significant
41,-109,121,-1.2139435305030692,Not Significant
41,-108,46,-0.774937047725376,Not Significant
41,-107,56,-0.03695688848459988,Not Significant
41,-106,663,0.17305506363747106,Not Significant
41,-105,310,0.2487027778725097,Not Significant
41,-104,142,-0.09679550760468238,Not Significant
41,-103,223,-0.6950510599568741,Not Significant
41,-102,172,-1.3242450145202316,Not Significant
41,-101,147,-1.3613848718353336,Not Significant
41,-100,59,-1.3175199779569016,Not Significant
41,-99,24,-1.1952767798527628,Not Significant
41,-98,204,-1.0833697334464683,Not Significant
41,-97,1121,-0.8837323269644032,Not Significant
41,-96,2273,-0.849658650329319,Not Significant
41,-95,440,-0.6335798784657853,Not Significant
41,-94,3025,-0.6702324842734863,Not Significant
41,-93,716,-0.7433095365593885,Not Significant
41,-92,2768,-0.8099674445327875,Not Significant
41,-91,1098,0.3534858875269423,Not Significant
41,-90,587,1.3301236338696056,Not Significant
41,-89,7773,2.4040405033667045,Hot Spot (95%)
41,-88,36694,1.4842325822462854,Not Significant
41,-87,2165,3.049283526066049,Hot Spot (99%)
41,-86,4777,2.482743447925109,Hot Spot (95%)
41,-85,3247,2.0509855652894027,Hot Spot (95%)
41,-84,3808,1.2421108424270322,Not Significant
41,-83,1453,1.5992368907179448,Not Significant
41,-82,7811,1.3438079179804736,Not Significant
41,-81,2883,1.3933485319885999,Not Significant
41,-80,3045,1.4766673040781182,Not Significant
41,-79,1493,2.1751979645669337,Hot Spot (95%)
41,-78,1471,3.567832221261878,Hot Spot (99%)
41,-77,2042,5.099537985693924,Hot Spot (99%)
41,-76,8250,8.291602949792285,Hot Spot (99%)
41,-75,4797,9.70526971741737,Hot Spot (99%)
41,-74,15909,9.416544749101726,Hot Spot (99%)
41,-73,10810,7.003480559292749,Hot Spot (99%)
41,-72,6456,4.682146159991218,Hot Spot (99%)
41,-71,1095,1.3829032242487713,Not Significant
41,-70,99,0.9444709445627305,Not Significant
42,-125,275,-0.4281291760099372,Not Significant
42,-124,917,-0.4983589277904648,Not Significant
42,-123,4328,-0.622045055168931,Not Significant
42,-122,452,-0.7204925066151094,Not Significant
42,-121,254,-0.9599898142555575,Not Significant
42,-120,18,-1.1152542309970463,Not Significant
42,-119,4,-1.0045919214968315,Not Significant
42,-118,75,-0.9588781154998074,Not Significant
42,-117,6,-0.8263150214714222,Not Significant
42,-116,58,-0.924839226572793,Not Significant
42,-115,699,-1.0310738396570094,Not Significant
42,-114,437,-1.170182026029381,Not Significant
42,-113,176,-1.1310020913517993,Not Significant
42,-112,151,-1.122616800778988,Not Significant
42,-111,121,-1.1740109750486096,Not Significant
42,-110,1,-1.2447096006595317,Not Significant
42,-109,46,-1.3395601147793095,Not Significant
42,-108,6,-1.2112988653609829,Not Significant
42,-107,511,-1.1252619422971306,Not Significant
42,-106,336,-0.7856982037754647,Not Significant
42,-105,139,-0.6131081668292421,Not Significant
42,-104,42,-1.1229609120139443,Not Significant
42,-103,21,-1.2457901563514802,Not Significant
42,-102,92,-1.3407713291672352,Not Significant
